Canadian Province/CMA,Gender,Mother tongue,Population,Province
Nova Scotia,Women+,Marathi,70,Nova Scotia
Nova Scotia,Women+,Nepali,20,Nova Scotia
Nova Scotia,Women+,Punjabi (Panjabi),220,Nova Scotia
Nova Scotia,Women+,Sinhala (Sinhalese),25,Nova Scotia
Nova Scotia,Women+,Urdu,155,Nova Scotia
Nova Scotia,Women+,"Indo-Aryan languages, n.i.e.",10,Nova Scotia
Nova Scotia,Women+,Kurdish,120,Nova Scotia
Nova Scotia,Women+,Pashto,10,Nova Scotia
Nova Scotia,Women+,Dari,10,Nova Scotia
Nova Scotia,Women+,Iranian Persian,80,Nova Scotia
Nova Scotia,Women+,"Persian (Farsi), n.o.s.",15,Nova Scotia
Nova Scotia,Women+,Italian,20,Nova Scotia
Nova Scotia,Women+,Portuguese,130,Nova Scotia
Nova Scotia,Women+,Romanian,35,Nova Scotia
Nova Scotia,Women+,Spanish,180,Nova Scotia
Nova Scotia,Women+,Japanese,35,Nova Scotia
Nova Scotia,Women+,Korean,320,Nova Scotia
Nova Scotia,Women+,Akan (Twi),15,Nova Scotia
Nova Scotia,Women+,Edo,10,Nova Scotia
Nova Scotia,Women+,Ganda,10,Nova Scotia
Nova Scotia,Women+,Igbo,95,Nova Scotia
Nova Scotia,Women+,Mwani,10,Nova Scotia
Nova Scotia,Women+,Shona,10,Nova Scotia
Nova Scotia,Women+,Swahili,45,Nova Scotia
Nova Scotia,Women+,Yoruba,155,Nova Scotia
Nova Scotia,Women+,"Niger-Congo languages, n.i.e.",60,Nova Scotia
Nova Scotia,Women+,Dinka,15,Nova Scotia
Nova Scotia,Women+,"Nilo-Saharan languages, n.i.e.",10,Nova Scotia
Nova Scotia,Women+,Mandarin,955,Nova Scotia
Nova Scotia,Women+,Yue (Cantonese),75,Nova Scotia
Nova Scotia,Women+,"Chinese, n.o.s.",15,Nova Scotia
Nova Scotia,Women+,Thai,25,Nova Scotia
Nova Scotia,Women+,Turkish,45,Nova Scotia
